,claim
1111,"""His [Dr Spencer's] latest research demonstrates that – in the short term, at any rate –  the temperature feedbacks that the IPCC imagines will greatly amplify  any initial warming caused by CO2 are net-negative, attenuating the  warming they are supposed to enhance."
1112,"His best estimate is that the  warming in response to a doubling of CO2 concentration, which may happen  this century unless the usual suspects get away with shutting down the  economies of the West, will be a harmless 1 Fahrenheit degree, not the 6  F predicted by the IPCC."""
1113,Climate sensitivity can be calculated empirically by comparing past temperature change to natural forcings at the time.
1114,"Some global warming 'skeptics' argue that the Earth's climate sensitivity is so low that a doubling of atmospheric CO2 will result in a surface temperature change on the order of 1°C or less, and that therefore global warming is nothing to worry about."
1115,"And  since the last ice age ended almost exactly 11,500 years ago…"" (Ice Age Now)"
1116,"The warming effect from more CO2 greatly outstrips the influence from changes in the Earth's orbit or solar activity, even if solar levels were to drop to Maunder Minimum levels."
1117,'Our harmless emissions of trifling quantities of carbon dioxide cannot possibly acidify the oceans.
1118,"The current debate on the connection between CO2 emissions and climate change has largely overlooked an independent and equally serious problem, the increasing acidity of our oceans."
1119,"Last December, the respected  journal “Oceanography” published projections (see graphic below) for this rising acidity, measured by falling pH"
1120,"Since the hockey stick paper in 1998, there have been a number of proxy studies analysing a variety of different sources including corals, stalagmites, tree rings, boreholes and ice cores."
1121,They all confirm the original hockey stick conclusion: the 20th century is the warmest in the last 1000 years and that warming was most dramatic after 1920.
1122,"A number of independent investigations from different countries, universities and government bodies have investigated the stolen emails and found no evidence of wrong doing."
1123,"Focusing on a few suggestive emails, taken out of context, merely serves to distract from the wealth of empirical evidence for man-made global warming."
1124,“[T]he 1079 emails and 72 documents seem indeed evidence of a scandal  involving most of the most prominent scientists pushing the man-made  warming theory - a scandal that is one of the greatest in modern  science.
1125,"It found the scientists' rigour and honesty are not in doubt, and their behaviour did not prejudice the IPCC's conclusions, though they did fail to display the proper degree of openness."
1126,[…] Constant 24-7  media coverage of every significant storm worldwide just makes it seem  that way.”
1127,It is unclear whether global warming is increasing hurricane frequency but there is increasing evidence that warming increases hurricane intensity.
1128,"Al Gore's film was ""broadly accurate"" according to an expert witness called when an attempt was made through the courts to prevent the film being shown in schools."
1129,"While there are minor errors in An Inconvenient Truth, the main truths presented - evidence to show mankind is causing global warming and its various impacts is consistent with peer reviewed science."
1130,"While there are isolated cases of growing glaciers, the overwhelming trend in glaciers worldwide is retreat."
1131,"In fact, the global melt rate has been accelerating since the mid-1970s."
1132,"Cosmic ray counts have increased over the past 50 years, so if they do influence global temperatures, they are having a cooling effect."
1133,"By regulating the Earth’s cloud cover, the Sun  can turn the temperature up and down. ..."
1134,"While the link between cosmic rays and cloud cover is yet to be confirmed, more importantly, there has been no correlation between cosmic rays and global temperatures over the last 30 years of global warming."
1135,"In fact, in recent years when cosmic rays should have been having their largest cooling effect on record, temperatures have been at their highest on record."
1136,"Hypothetically, an increasing solar magnetic field could deflect galactic cosmic rays, which hypothetically seed low-level clouds, thus decreasing the Earth's reflectivity and causing global warming."
1137,"Steve McIntyre noticed a strange  discontinuity in US temperature data, occurring around January 2000."
1138,"As a result, ""The warmest  year on US record is now 1934."
1139,"(2012 is now the hottest by a wide margin), but the USA only comprises 2% of the globe."
